,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
70,Homemade Pasta,Grandma's Butter Noodles,https://www.allrecipes.com/recipe/82700/grandmas-butter-noodles/,30 m,10 m,2 h 10 m,Original recipe yields 4 servings,254  cals,11.5 ,30.1,7.3 ,116 ,701 ,"2 eggs;3 tablespoons butter, melted and cooled;1 1/4 cups all-purpose flour;1/4 teaspoon baking powder;1 teaspoon salt",3
71,Homemade Pasta,Grandma's Gnocchi,https://www.allrecipes.com/recipe/84136/grandmas-gnocchi/,15 m,20 m,35 m,Original recipe yields 8 servings,204  cals,2.6 ,39.9,5.6 ,23 ,19 ,"6 russet potatoes;1 cup all-purpose flour;1 egg, lightly beaten;1 tablespoon olive oil;1 pinch salt",3
72,Homemade Pasta,Gnocchi II,https://www.allrecipes.com/recipe/18466/gnocchi-ii/,55 m,5 m,1 h,Original recipe yields 4 servings,612  cals,6.8 ,124.8,13.7 ,15 ,57 ,8 potatoes;2 tablespoons butter;2 cups all-purpose flour,3
73,Homemade Pasta,Chicken and Spinach Ravioli,https://www.allrecipes.com/recipe/70509/chicken-and-spinach-ravioli/,,,,,,,,,,,,0
74,Homemade Pasta,Homemade Egg Noodles,https://www.allrecipes.com/recipe/16297/homemade-egg-noodles/,,,,Original recipe yields 4 servings,280  cals,5 ,48.4,9.1 ,205 ,185 ,2 cups all-purpose flour;1/4 teaspoon salt;1/4 teaspoon baking powder;4 egg yolks,3
75,Homemade Pasta,Pumpkin Ravioli,https://www.allrecipes.com/recipe/11827/pumpkin-ravioli/,,,,Original recipe yields 6 servings,212  cals,4.5 ,35.7,7.1 ,62 ,574 ,1 cup ricotta cheese;1/2 cup pumpkin puree;1/2 teaspoon salt;1/4 teaspoon ground nutmeg;2 cups all-purpose flour;1/2 teaspoon salt;1/4 cup tomato paste;1 tablespoon olive oil;2 eggs;2 tablespoons water,5
76,Homemade Pasta,Fresh Pasta,https://www.allrecipes.com/recipe/11825/fresh-pasta/,,,,Original recipe yields 6 servings,526  cals,6.2 ,95.8,19.2 ,186 ,72 ,6 cups all-purpose flour;6 eggs,4
77,Homemade Pasta,Easy Homemade Pasta Dough,https://www.allrecipes.com/recipe/241920/easy-homemade-pasta-dough/,20 m,25 m,,Original recipe yields 4 servings,341  cals,11.1 ,48,11.2 ,140 ,635 ,"2 cups flour;3 large eggs, room temperature;2 tablespoons olive oil;1 teaspoon salt;2 tablespoons water, or as needed",2
78,Noodles,Spring Vegetable Soup,https://www.allrecipes.com/recipe/84060/spring-vegetable-soup/,15 m,45 m,1 h,Original recipe yields 6 servings,245  cals,4.9 ,41,9.8 ,28 ,1452 ,"1 tablespoon vegetable oil;1/2 cup chopped onion;1 clove garlic, minced;1 medium potato, peeled and chopped;1/2 cup chopped broccoli;1/2 cup frozen corn;1/2 cup torn spinach;1/2 cup chopped fresh mushrooms;1/2 cup chopped carrots;1/4 cup chopped cabbage;2 (32 fluid ounce) containers chicken broth;6 ounces egg noodles;1 cup canned white beans",2
79,Noodles,Thai Peanut Noodle Stir-Fry,https://www.allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry/,15 m,20 m,35 m,Original recipe yields 4 servings,587  cals,20.2 ,87.1,16.2 ,0 ,930 ,"1 (8 ounce) package uncooked spaghetti;1 tablespoon cornstarch;1 cup vegetable broth;1/3 cup creamy peanut butter;3 tablespoons soy sauce;3 tablespoons honey;3 tablespoons brown sugar;1 teaspoon sesame oil;1 teaspoon ground ginger;1/4 teaspoon ground red pepper;2 tablespoons sake;2 tablespoons vegetable oil;2 cloves garlic, minced;1 onion, chopped;1 cup broccoli florets;1 cup carrots, sliced;1/2 cup red bell pepper, chopped;1/2 cup sugar snap peas",3
80,Noodles,Yummy Korean Glass Noodles (Jap Chae),https://www.allrecipes.com/recipe/158891/yummy-korean-glass-noodles-jap-chae/,15 m,5 m,20 m,Original recipe yields 4 servings,363  cals,10.7 ,65.2,1.9 ,0 ,1073 ,1 pkg. (8 serving size) sweet potato vermicelli;1/2 cup reduced-sodium soy sauce;1/4 cup brown sugar;1/2 cup boiling water;3 tablespoons vegetable oil;1 teaspoon toasted sesame seeds,3
81,Noodles,Sukhothai Pad Thai,https://www.allrecipes.com/recipe/19306/sukhothai-pad-thai/,20 m,10 m,30 m,Original recipe yields 8 servings,619  cals,34 ,64.1,19.5 ,93 ,1010 ,"1/2 cup white sugar;1/2 cup distilled white vinegar;1/4 cup soy sauce;2 tablespoons tamarind pulp;1 (12 ounce) package dried rice noodles;1/2 cup vegetable oil;1 1/2 teaspoons minced garlic;4 eggs;1 (12 ounce) package firm tofu, cut into 1/2 inch strips;1 1/2 tablespoons white sugar;1 1/2 teaspoons salt;1 1/2 cups ground peanuts;1 1/2 teaspoons ground, dried oriental radish;1/2 cup chopped fresh chives;1 tablespoon paprika;2 cups fresh bean sprouts;1 lime, cut into wedges",4
82,Noodles,Vietnamese Rice Noodle Salad,https://www.allrecipes.com/recipe/14087/vietnamese-rice-noodle-salad/,15 m,15 m,,Original recipe yields 4 servings,432  cals,5.3 ,89.5,6.6 ,0 ,188 ,"5 cloves garlic;1 cup loosely packed chopped cilantro;1/2 jalapeno pepper, seeded and minced;3 tablespoons white sugar;1/4 cup fresh lime juice;3 tablespoons vegetarian fish sauce;1 (12 ounce) package dried rice noodles;2 carrots, julienned;1 cucumber, halved lengthwise and chopped;1/4 cup chopped fresh mint;4 leaves napa cabbage;1/4 cup unsalted peanuts;4 sprigs fresh mint",3
83,Noodles,Udon Peanut Butter Noodles,https://www.allrecipes.com/recipe/180879/udon-peanut-butter-noodles/,,,,,,,,,,,,0
84,Noodles,Quick and Easy Pancit,https://www.allrecipes.com/recipe/47015/quick-and-easy-pancit/,,,,,,,,,,,,0
